ORGANIZATION623	plays from 	ORGANIZATION678	157
PERSON930	born 	LOCATION442	158
PERSON930	born in 	LOCATION443	158
LOCATION442	in 	LOCATION443	158
PERSON930		LOCATION100	158
PERSON936	born 	LOCATION221	159
PERSON936	born in 	ORGANIZATION937	159
LOCATION221	in 	ORGANIZATION937	159
PERSON936		LOCATION100	159
PERSON936	plays for 	PERSON938	159
LOCATION100	plays for 	PERSON938	159
PERSON939	plays for 	ORGANIZATION678	160
PERSON940		LOCATION100	161
PERSON940	plays from 	ORGANIZATION1	161
LOCATION100	plays from 	ORGANIZATION1	161
PERSON941	plays for 	ORGANIZATION942	162
PERSON943	born in 	LOCATION944	163
PERSON952	plays 	ORGANIZATION171	164
PERSON952	plays for 	PERSON953	164
ORGANIZATION171	for 	PERSON953	164
PERSON954	plays for 	ORGANIZATION61	165
PERSON955	plays for 	ORGANIZATION67	166
PERSON965	born 	LOCATION966	169
PERSON965	born 	ORGANIZATION183	169
PERSON965	born in 	LOCATION863	169
LOCATION966		ORGANIZATION183	169
LOCATION966	in 	LOCATION863	169
ORGANIZATION183	in 	LOCATION863	169
PERSON965	simply 	PERSON967	169
PERSON965	simply 	LOCATION100	169
PERSON965	simply plays for 	ORGANIZATION28	169
PERSON967		LOCATION100	169
PERSON967	plays for 	ORGANIZATION28	169
LOCATION100	plays for 	ORGANIZATION28	169
PERSON968	plays for 	ORGANIZATION969	170
PERSON968	plays from 	LOCATION385	170
ORGANIZATION969	plays from 	LOCATION385	170
ORGANIZATION359		LOCATION100	174
ORGANIZATION359	organized as 	ORGANIZATION973	174
ORGANIZATION359	organized 	LOCATION100	174
LOCATION100	organized as 	ORGANIZATION973	174
LOCATION100	organized 	LOCATION100	174
ORGANIZATION973	organized 	LOCATION100	174
PERSON978	born 1989 	LOCATION979	175
PERSON978	born 1989 	ORGANIZATION822	175
LOCATION979		ORGANIZATION822	175
PERSON978	playing for 	LOCATION980	175
PERSON981	born 1989 	ORGANIZATION982	176
PERSON981	playing for 	LOCATION811	176
PERSON981	playing in 	ORGANIZATION61	176
LOCATION811	in 	ORGANIZATION61	176
PERSON983	plays for 	ORGANIZATION263	177
PERSON984		LOCATION229	178
PERSON984	in 	LOCATION222	178
LOCATION229	in 	LOCATION222	178
PERSON1000	plays for 	ORGANIZATION1001	180
PERSON1010	born in 	LOCATION1011	187
PERSON1010	plays for 	ORGANIZATION1012	187
PERSON1010	plays from 	ORGANIZATION502	187
ORGANIZATION1012	plays from 	ORGANIZATION502	187
