PERSON707	Roberto Baggio
ORGANIZATION708	Brescia
ORGANIZATION709	Paris Saint-Germain
ORGANIZATION710	Divisione Nazionale
PERSON711	Alessandro Rosina
LOCATION712	St. Petersburg
PERSON713	Belvedere Marittimo
PERSON714	Rosina
LOCATION715	Milan
ORGANIZATION716	Parma
ORGANIZATION717	Parma Primavera
PERSON718	Hidetoshi Nakata
PERSON719	B. Rosina
PERSON720	Tommaso Berni
LOCATION721	S.C. Braga
PERSON722	Berni
PERSON723	Primavera Team
PERSON724	B. Berni
LOCATION725	Ternana
PERSON726	Angelo Peruzzi
PERSON727	Marco Ballotta
PERSON728	Fernando Muslera
PERSON729	Juan Pablo Carrizo
LOCATION730	Salernitana
PERSON731	Salvatore Pinna
ORGANIZATION732	SC Braga
PERSON733	Yann M'Vila
ORGANIZATION734	Rennes
ORGANIZATION735	Ligue
PERSON736	Yohan M'Vila
PERSON737	M'Vila
LOCATION738	Picardy
ORGANIZATION739	Amiens SC
PERSON740	Stade Rennais
ORGANIZATION741	Nice
PERSON742	Frédéric Antonetti
PERSON743	Iriney Santos da Silva
LOCATION744	Humaitá
ORGANIZATION745	Amazonas
PERSON746	Iriney
PERSON747	Associação Desportiva São Caetano
PERSON748	Celta de Vigo
PERSON749	Associazione Calcio Siena
LOCATION750	Stadio
PERSON751	Stadio Franchi
LOCATION752	Florence
PERSON753	A.C. Siena
LOCATION754	Isola d’Arbia
ORGANIZATION755	Società Sportiva Robur
ORGANIZATION756	Associazione Calcio Siena
ORGANIZATION757	Associazione Sportiva Livorno Calcio
PERSON758	Armando Picchi
LOCATION759	U.S. Livorno
LOCATION760	Pisa
PERSON761	Edda Ciano Mussolini
PERSON762	Benito Mussolini
LOCATION763	Eccellenza
PERSON764	Rene Krhin
PERSON765	Vid Belec
ORGANIZATION766	NK Maribor
ORGANIZATION767	European Union
PERSON768	Jose Mourinho
LOCATION769	United States
PERSON770	Wesley Sneijder
PERSON771	Sulley Muntari
ORGANIZATION772	Empoli Football Club
LOCATION773	European
LOCATION774	Udinese
ORGANIZATION775	Associazione Sportiva Bari
LOCATION776	Bari
ORGANIZATION777	Liberty Bari
ORGANIZATION778	US Ideale
PERSON779	David Platt
PERSON780	Igor Protti
PERSON781	Antonio Cassano
ORGANIZATION782	Associazione Calcio Cesena
LOCATION783	Romagna
PERSON784	Gianluigi Savoldi
LOCATION785	Calcio Catania
LOCATION786	San Raineri
PERSON787	Messina
ORGANIZATION788	Royal Yacht Catania
PERSON789	Gaetano Ventimiglia
PERSON790	Francesco Sturzo d'Aldobrando
PERSON791	Ascoli Calcio
PERSON792	Ascoli Piceno
LOCATION793	Marche
PERSON794	A. Ascoli
PERSON795	Candido Augusto Vecchi
ORGANIZATION796	Ascoli Vigor
LOCATION797	U.S. Ascolana
ORGANIZATION798	A.S. Ascoli
PERSON799	Cino Del Duca
